Subject,Start_Date,Start_Time,End_Date,End_Time,Location,All_Day_Event
21713 - Comunicacions de Dades i Xarxes / 01G,03/11/2017,11:30,03/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,30/10/2017,11:30,30/10/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,03/11/2017,10:30,03/11/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,02/11/2017,10:30,02/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,08/11/2017,16:30,09/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,08/11/2017,16:30,08/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Lliurament 21726 - Base de Dades II / 01G,03/11/2017,,,,,True
21748 - Seguretat en Sistemes Informàtics / 01G,03/11/2017,15:30,08/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Lliurament 21726 - Base de Dades II / 01G,03/11/2017,,,,,True
21726 - Base de Dades II / 01G,09/11/2017,15:30,09/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Dia de Tots Sants,01/11/2017,,,,,True
21748 - Seguretat en Sistemes Informàtics / 01G,07/11/2017,15:30,07/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,06/11/2017,15:30,06/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,06/11/2017,11:30,06/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01X01,06/11/2017,12:30,06/11/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,10/11/2017,10:30,10/11/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,09/11/2017,12:30,09/11/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,10/11/2017,12:30,10/11/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,10/11/2017,11:30,10/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,09/11/2017,10:30,09/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
